Author,Title,Journal,Year,Volume,Number,Pages,Month,Abstract,Publisher,Address,Type,Language,Affiliation,DOI,ISSN,EISSN,Keywords,Areas,Categories,entry_type,citation_key,Editor,Booktitle,Series,Note,ISBN,Plus,Organization,Affiliations,References,Cited,days,2013,ISO,Index,ID,DA,Numbers,Acknowledgement,Text,EarlyAccessDate,OA
ACM,``I personally relate it to the traffic light{''} a user study on    security \& privacy indicators in a secure email system committed to    privacy by default,,2021,,,1235-1244,,"Improving the usability and adoption of secure (i.e. end-to-end    encrypted) email systems has been a notorious challenge for over two    decades. One of the open questions concerns the amount and format of    information that should be communicated to users to inform them of the    security and privacy properties with respect to different messages or    correspondents. Contributing to the ongoing discussion on the usability    and effectiveness of security and privacy indicators, particularly in    the context of systems targeting non-expert users, this paper sheds    light on users' evaluation of traffic light-inspired indicators, as a    metaphor to represent different privacy states and guarantees, provided    by a new system for email end-to-end encryption called p=p. Using a    mixed-methods approach, based on input gathered from 150 participants in    three online studies, we highlight the pros and cons of the traffic    light semantic in p=p's context and beyond, and discuss the potential    implications on the perceived security and use of such systems.",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES",Proceedings Paper,English,"Stojkovski, B (Corresponding Author), Univ Luxembourg, SnT, Luxembourg, Luxembourg.    Stojkovski, Borce; Lenzini, Gabriele, Univ Luxembourg, SnT, Luxembourg, Luxembourg.    Koenig, Vincent, Univ Luxembourg, COSA, Luxembourg, Luxembourg.",10.1145/3412841.3441998,,,usable security; privacy engineering; privacy indicators; secure email;    user studies,Computer Science,"Computer Science, Information Systems; Computer Science,    Interdisciplinary Applications; Computer Science, Theory \& Methods",inproceedings,WOS:001108757100160,,"36TH ANNUAL ACM SYMPOSIUM ON APPLIED COMPUTING, SAC 2021",,"36th Annual ACM Symposium on Applied Computing (SAC), ELECTR NETWORK,    MAR 22-26, 2021",978-1-4503-8104-8,,Assoc Comp Machinery; ACM Special Interest Grp Appl Comp,,,,,,,,,,,,,,
"Herath, Tejaswini and Chen, Rui and Wang, Jingguo and Banjara, Ketan and    Wilbur, Jeff and Rao, H. Raghav",Security services as coping mechanisms: an investigation into user    intention to adopt an email authentication service,INFORMATION SYSTEMS JOURNAL,2014,24,1,61-84,JAN,"Email plays an important role in the digital economy but is threatened    by increasingly sophisticated cybercrimes. A number of security services    have been developed, including an email authentication service designed    to cope with email threats. It remains unknown how users perceive and    evaluate these security services and consequently form their adoption    intention. Drawing on the Technology Acceptance Model and Technology    Threat Avoidance Theory, this paper investigates the factors that affect    user intention to adopt an email authentication service. Our results    show that user intention to adopt an email security service is    contingent upon users' perception of risk and evaluation of both    internal and external coping strategies. This study contributes to    research in security service adoption, service success and design, and    information security behaviour.",WILEY-BLACKWELL,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",Article,English,"Herath, T (Corresponding Author), Brock Univ, Fac Business, Dept Finance Operat \& Informat Syst, St Catharines, ON L2S 3A1, Canada.    Herath, Tejaswini, Brock Univ, Fac Business, Dept Finance Operat \& Informat Syst, St Catharines, ON L2S 3A1, Canada.    Chen, Rui, Ball State Univ, Miller Coll Business, Dept Informat Syst \& Operat Management, Muncie, IN 47306 USA.    Wang, Jingguo, Univ Texas Arlington, Coll Business Adm, Dept Informat Syst \& Operat Management, Arlington, TX 76019 USA.    Banjara, Ketan, Iconix Inc, Business Dev, San Jose, CA USA.    Wilbur, Jeff, Iconix Inc, San Jose, CA USA.    Rao, H. Raghav, SUNY Buffalo, Sch Management, Buffalo, NY 14260 USA.    Rao, H. Raghav, Sogang Univ, SSME, Seoul, South Korea.",10.1111/j.1365-2575.2012.00420.x,1350-1917,1365-2575,information security; security service adoption; email authentication    service; internal and external coping strategies; protection motivation    theory; technology acceptance,Information Science \& Library Science,Information Science \& Library Science,article,WOS:000327995000004,,,,,,INFORMATION-TECHNOLOGY; PROTECTION MOTIVATION; ELECTRONIC COMMERCE;    SELF-EFFICACY; RISK BEHAVIOR; PRIVACY; MODEL; ACCEPTANCE; PERSPECTIVE;    ORGANIZATIONS,,,,,,,,,,,,,,,
IEEE,Intelligent Blacklist Security System for Protecting Spammer in    Corporate Email Solution: A Case of Corporate Email Service Provider in    Thailand,,2021,,,387-391,,"In the present, there're billions of information transactions around the    world each day including email. Technology Land Co., Ltd. (TL) is the    email service provider organization that provides the email domain name    to the client's organization. However, there have been problems that    occurred in the TL email service provider (TLESP) system which must be    solved immediately to solve the existed problems and prevent further    damage. Additionally, the improved TLESP system has used artificial    intelligence (AI) as the core for email spamming, viruses, hackers, and    unusual behaviour detection. Also, the advanced TL's email system    incoming process and outgoing process security have been explained    together with system results and user benefits after the improvement of    the system in this study.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Wongwatkit, R (Corresponding Author), Technol Land Co Ltd, Bangkok, Thailand.    Wongwatkit, Rattanachai; Raktham, Montree; Phawananthaphuti, Thanadet, Technol Land Co Ltd, Bangkok, Thailand.",,1738-9445,,Email Service Provider; Artificial Intelligent; Email Security; Email    Spam Detection; Email Blacklisting; Corporate,Telecommunications,Telecommunications,inproceedings,WOS:000662194300071,,2021 23RD INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY    (ICACT 2021): ON-LINE SECURITY IN PANDEMIC ERA,International Conference on Advanced Communication Technology,"23rd International Conference on Advanced Communications Technology    (ICACT) - On-Line security in Pandemic Era, ELECTR NETWORK, FEB 07-10,    2021",979-11-88428-06-9,,"IEEE; IEEE Commun Soc; Global IT Res Inst; Natl Informat Soc Agcy; Elect    \& Telecommunicat Res Inst; Gangwon Convent \& Visitors Bur; Korean Inst    Commun Sci; IEEK Commun Soc; Korean Inst Informat Scientists \&    Engineers; Open Stand \& Internet Assoc; Korea Inst Informat Secur \&    Crytol; Vietnam Natl Univ, Informat Technol Inst",,,,,,,,,,,,,,
IEEE,Improving Email Security with Fuzzy Rules,,2018,,,1864-1869,,"Phishing and other malicious email messages are increasingly serious    security threats. An important tool for countering such email threats is    the automated or semiautomated detection of malicious email. This paper    reports work on using fuzzy rules to classify email for such purposes.    The effectiveness of a fuzzy rule-based classifier is studied    experimentally on a real dataset and compared with results for other    classifiers, including those based on crisp rules and decision trees.    The human-readability and editability of the classifiers produced by    these methods is also studied.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Chawathe, SS (Corresponding Author), Univ Maine, Sch Comp \& Informat Sci, Orono, ME 04469 USA.    Chawathe, Sudarshan S., Univ Maine, Sch Comp \& Informat Sci, Orono, ME 04469 USA.",10.1109/TrustCom/BigDataSE.2018.00282,2324-9013,,email; phishing; security; fuzzy logic; machine learning;    classification; spam,Computer Science,"Computer Science, Information Systems; Computer Science, Theory \&    Methods",inproceedings,WOS:000495072100272,,"2018 17TH IEEE INTERNATIONAL CONFERENCE ON TRUST, SECURITY AND PRIVACY    IN COMPUTING AND COMMUNICATIONS (IEEE TRUSTCOM) / 12TH IEEE    INTERNATIONAL CONFERENCE ON BIG DATA SCIENCE AND ENGINEERING (IEEE    BIGDATASE)",IEEE Trustcom BigDataSE ISPA,"17th IEEE International Conference on Trust, Security and Privacy in    Computing and Communications (IEEE TrustCom) / 12th IEEE International    Conference on Big Data Science and Engineering (IEEE BigDataSE), New    York, NY, JUL 31-AUG 03, 2018",978-1-5386-4387-7,ALGORITHM; FURIA,IEEE; IEEE Comp Soc; IEEE TCSC; IEEE STC Smart Comp; Columbia Univ; N    Amer Chinese Talents Assoc,,,,,,,,,,,,,,
"Altulaihan, Esra and Alismail, Abrar and Rahman, M. M. Hafizur and    Ibrahim, Adamu A.","Email Security Issues, Tools, and Techniques Used in Investigation",SUSTAINABILITY,2023,15,10612,,JUL,"The email system is a globally distributed communication infrastructure    service that involves multiple actors playing different roles to ensure    end-to-end mail delivery. It is an indispensable method of communicating    that is changing how people share data and information. As a result, it    facilitates effective and efficient communication, especially in    business, as well as convenience, accessibility, and replication. Today,    email can send more than just text files; it can also send audio, video,    photos, and other files with extensions. With email becoming ubiquitous    in all aspects of our lives, enhancing its security, operating    procedures, and forensic investigation has become essential. The purpose    of this paper is to review some real email forensic incidents and the    tools and techniques that have been proposed. A discussion of the major    threats to email as well as techniques to mitigate them will also be    provided. A comparison study was made of several techniques and analysis    tools used in email forensics. In addition, this paper compares the    available software tools for email forensics based on factors such as    language interface, user interface, programming language, creation of    image files, calculation of hash value, cost, and advantages.",MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",Review,English,"Altulaihan, E (Corresponding Author), King Faisal Univ, Dept Comp Networks \& Commun, Al Hasa 31982, Saudi Arabia.    Altulaihan, Esra; Alismail, Abrar; Rahman, M. M. Hafizur, King Faisal Univ, Dept Comp Networks \& Commun, Al Hasa 31982, Saudi Arabia.    Ibrahim, Adamu A., Int Islamic Univ Malaysia IIUM, Dept Comp Sci, KICT, Kuala Lumpur 53100, Malaysia.",10.3390/su151310612,,2071-1050,email; security; email forensics; threats; investigation; email    analysis; tools; techniques,Science \& Technology - Other Topics; Environmental Sciences \& Ecology,Green \& Sustainable Science \& Technology; Environmental Sciences;    Environmental Studies,article,WOS:001030904300001,,,,,,,,,,,,,,,,,,,,,
"Dodge, Ronald C. and Ferguson, Aaron J.",Using phishing for user email security awareness,,2006,201,,454+,,User security education and training is one of the most important    aspects of an organizations security posture. Using security exercises    to reinforce this aspect is frequently done by education and industry    alike; however these exercises usually enlist willing participants. We    have taken the concept of using an exercise and modified it somewhat to    evaluate a users propensity to respond to email phishing attacks.,SPRINGER,"233 SPRING STREET, NEW YORK, NY 10013, UNITED STATES",Proceedings Paper,English,"Dodge, RC (Corresponding Author), US Mil Acad, Dept Elect Engn \& Comp Sci, West Point, NY 10996 USA.    Dodge, Ronald C.; Ferguson, Aaron J., US Mil Acad, Dept Elect Engn \& Comp Sci, West Point, NY 10996 USA.",,1571-5736,,,Computer Science,"Computer Science, Information Systems; Computer Science, Software    Engineering; Computer Science, Theory \& Methods",inproceedings,WOS:000237334600041,"FischerHubner, S and Rannenberg, K and Yngstrom, L and Lindskog, S",SECURITY AND PRIVACY IN DYNAMIC ENVIRONMENTS,International Federation for Information Processing,"21st International Information Security Conference (SEC 2006), Karlstad,    SWEDEN, MAY 22-24, 2006",0-387-33405-X,,IFIP TC 11; Karlstad Univ; SIG Secur; Dataforeningen Sverige; Microsoft    AB; Karlstads kommun; SAAB AB; TietoEnator,,,,,,,,,,,,,,
"Caffery, Liam J. and Smith, Anthony C.",A Transmission Security Framework for Email-based Telemedicine,,2010,161,,35-48,,"Encryption is used to convert an email message to an unreadable format    thereby securing patient privacy during the transmission of the message    across the Internet. Two available means of encryption are: public key    infrastructure (PKI) used in conjunction with ordinary email and secure    hypertext transfer protocol (HTTPS) used by secure web-mail    applications. Both of these approaches have advantages and disadvantages    in terms of viability, cost, usability and compliance. The aim of this    study was develop an instrument to identify the most appropriate means    of encrypting email communication for telemedicine. A multi-method    approach was used to construct the instrument. Technical assessment and    existing bodies of knowledge regarding the utility of PKI were analyzed,    along with survey results from users of Queensland Health's Child and    Youth Mental Health Service secure web-mail service. The resultant    decision support model identified that the following conditions affect    the choice of encryption technology: correspondent's risk perception,    correspondent's identification to the security afforded by encryption,    email-client used by correspondents, the tolerance to human error and    the availability of technical resources. A decision support model is    presented as a flow chart to identify the most appropriate encryption    for a specific email-based telemedicine service.",IOS PRESS,"NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS",Proceedings Paper,English,"Caffery, LJ (Corresponding Author), Royal Childrens Hosp, Ctr Online Hlth, Level 3 Fdn Bldg, Herston, Qld 4029, Australia.    Caffery, Liam J.; Smith, Anthony C., Univ Queensland, Ctr Online Hlth, Brisbane, Qld 4072, Australia.    Smith, Anthony C., Queensland Childrens Med Res Inst, Brisbane, Qld, Australia.",10.3233/978-1-60750-659-1-35,0926-9630,,telemedicine; telehealth; email; privacy; encryption,Health Care Sciences \& Services; Medical Informatics,Health Care Sciences \& Services; Medical Informatics,inproceedings,WOS:000392217300004,"Smith, AC and Maeder, AJ",GLOBAL TELEHEALTH,Studies in Health Technology and Informatics,"15th International Conference of the    International-Society-for-Telemedicine-and-eHealth / 1st National    Conference of the Australasian-Telehealth-Society (GT), Australian    Telehealth Soc, Perth, AUSTRALIA, NOV 10-12, 2010",978-1-60750-659-1,E-MAIL; ELECTRONIC MAIL; COMMUNICATION; INTERNET; PATIENT; GUIDELINES;    RECORDS,Int Soc Telemedicine \& eHealth,,,,,,,,,,,,,,
ACM,``We're on the Same Page{''}: A Usability Study of Secure Email Using    Pairs of Novice Users,,2016,,,4298-4308,,"Secure email is increasingly being touted as usable by novice users,    with a push for adoption based on recent concerns about government    surveillance. To determine whether secure email is ready for grassroots    adoption, we employ a laboratory user study that recruits pairs of    novice users to install and use several of the latest systems to    exchange secure messages. We present both quantitative and qualitative    results from 25 pairs of novice users as they use Pwm, Tutanota, and    Virtru. Participants report being more at ease with this type of study    and better able to cope with mistakes since both participants are ``on    the same page{''}. We find that users prefer integrated solutions over    depot-based solutions, and that tutorials are important in helping    first-time users. Hiding the details of how a secure email system    provides security can lead to a lack of trust in the system.    Participants expressed a desire to use secure email, but few wanted to    use it regularly and most were unsure of when they might use it.",ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",Proceedings Paper,English,"Ruoti, S (Corresponding Author), Brigham Young Univ, Provo, UT 84602 USA.    Ruoti, Scott; Andersen, Jeff; Heidbrink, Scott; O'Neill, Mark; Vaziripour, Elham; Wu, Justin; Zappala, Daniel; Seamons, Kent, Brigham Young Univ, Provo, UT 84602 USA.    Ruoti, Scott; Heidbrink, Scott; O'Neill, Mark, Sandia Natl Labs, Livermore, CA 94550 USA.",10.1145/2858036.2858400,,,Usable Security; Secure Email; User Study; Paired Participants,Computer Science,"Computer Science, Artificial Intelligence; Computer Science, Software    Engineering; Computer Science, Theory \& Methods",inproceedings,WOS:000380532904026,,"34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI    2016",,"34th Annual CHI Conference on Human Factors in Computing Systems    (CHI4GOOD), San Jose, CA, MAY 07-12, 2016",978-1-4503-3362-7,,Assoc Comp Machinery; SIG CHI,,,,,,,,,,,,,,
"Al Qahtani, Elham and Javed, Yousra and Tabassum, Sarah and Sahoo,    Lipsarani and Shehab, Mohamed",Managing Access to Confidential Documents: A Case Study of an Email    Security Tool,FUTURE INTERNET,2023,15,356,,NOV,"User adoption and usage of end-to-end encryption tools is an ongoing    research topic. A subset of such tools allows users to encrypt    confidential emails, as well as manage their access control using    features such as the expiration time, disabling forwarding, persistent    protection, and watermarking. Previous studies have suggested that    protective attitudes and behaviors could improve the adoption of new    security technologies. Therefore, we conducted a user study on 19    participants to understand their perceptions of an email security tool    and how they use it to manage access control to confidential information    such as medical, tax, and employee information if sent via email. Our    results showed that the participants' first impression upon receiving an    end-to-end encrypted email was that it looked suspicious, especially    when received from an unknown person. After the participants were    informed about the importance of the investigated tool, they were    comfortable sharing medical, tax, and employee information via this    tool. Regarding access control management of the three types of    confidential information, the expiration time and disabling forwarding    were most useful for the participants in preventing unauthorized and    continued access. While the participants did not understand how the    persistent protection feature worked, many still chose to use it,    assuming it provided some extra layer of protection to confidential    information and prevented unauthorized access. Watermarking was the    least useful feature for the participants, as many were unsure of its    usage. Our participants were concerned about data leaks from recipients'    devices if they set a longer expiration date, such as a year. We provide    the practical implications of our findings.",MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",Article,English,"Javed, Y (Corresponding Author), Illinois State Univ, Sch Informat Technol, Normal, IL 61761 USA.    Al Qahtani, Elham, Univ Jeddah, Dept Software Engn, Mecca 23445, Saudi Arabia.    Javed, Yousra, Illinois State Univ, Sch Informat Technol, Normal, IL 61761 USA.    Tabassum, Sarah; Sahoo, Lipsarani; Shehab, Mohamed, Univ N Carolina, Dept Software Informat Syst, Charlotte, NC 28223 USA.",10.3390/fi15110356,1999-5903,,access control; confidential emails; email security tool; end-to-end    encryption; user study,Computer Science,"Computer Science, Information Systems",article,WOS:001115293900001,,,,,,,,,,,,,,,,,,,,,
"Wiese, Oliver and Lausch, Joscha and Bode, Jakob and Roth, Volker",Beware the Downgrading of Secure Electronic Mail,,2018,,,1-9,,"Researchers have investigated the usability challenges of end-toend    encryption for electronic mail while users seem to place little value    into the confidentiality of their mail. On the other hand, users should    see value in protection against phishing. Designing mail apps so that    they help users resist phishing attacks has received less attention. A    well-known and widely implemented mechanism can be brought to bear on    this problem - digital signatures. We investigated contemporary mail    apps and found that they make limited use of digital signatures to help    users detect phishing mail. We developed and studied an opinionated user    interface design that steers users towards safe behaviors when    confronted with phishing mail. In our study with 18 participants we    found that the control group was phishable whereas the experimental    group remained safe.",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES",Proceedings Paper,English,"Wiese, O (Corresponding Author), Free Univ Berlin, Berlin, Germany.    Wiese, Oliver; Lausch, Joscha; Bode, Jakob; Roth, Volker, Free Univ Berlin, Berlin, Germany.",10.1145/3361331.3361332,,,Secure electronic mail; phishing; end-to-end-encryption,Computer Science; History \& Philosophy of Science; Social Sciences -    Other Topics,"Computer Science, Theory \& Methods; History \& Philosophy Of Science;    Social Sciences, Interdisciplinary",inproceedings,WOS:000773054100001,"Bella, G and Lenzini, G",8TH WORKSHOP ON SOCIO-TECHNICAL ASPECTS IN SECURITY AND TRUST (STAST    2018),,"8th Workshop on Socio-Technical Aspects in Security and Trust (STAST),    San Juan, PR, DEC 04, 2018",978-1-4503-7285-5,,Univ Luxembourg; SnT; Luxembourg Natl Res Fund; Univ Degli Studi Catania,,,,,,,,,,,,,,
"Kraus, Lydia and Svidronova, Maria and Stobert, Elizabeth",How Do Users Chain Email Accounts Together?,,2021,625,,416-429,,"Recovery connections between email accounts can be exploited in manual    hijacking attacks as has been shown in several incidents during the last    years. Yet little is known about users' practices of chaining email    accounts together. We conducted a qualitative interview study with 23    students in which they shared their email recovery and forwarding    settings with us. Altogether, we collected and analyzed information    about 138 different email accounts. We used this data to map email    account topologies and analyzed these topologies for recurring patterns.    We found that users often make poor configuration decisions in their    email recovery setups, and often create patterns in their email recovery    topologies that result in security vulnerabilities. Patterns such as    loops (seen in more than a quarter of our topologies) could be easily    exploited in a targeted attack. We conclude that users need better    guidance about how to use email based recovery settings in a robust way.",SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",Proceedings Paper,English,"Stobert, E (Corresponding Author), Carleton Univ, Sch Comp Sci, Ottawa, ON, Canada.    Kraus, Lydia, Masaryk Univ, Inst Comp Sci, Brno, Czech Republic.    Svidronova, Maria, Masaryk Univ, Fac Informat, Ctr Res Cryptog \& Secur, Brno, Czech Republic.    Stobert, Elizabeth, Carleton Univ, Sch Comp Sci, Ottawa, ON, Canada.",10.1007/978-3-030-78120-0\_27,1868-4238,1868-422X,Email recovery; Email forwarding; Fallback authentication; Security;    Usability,Computer Science; Mathematics,"Computer Science, Information Systems; Computer Science, Theory \&    Methods; Mathematics, Applied",inproceedings,WOS:001299960700027,"Josang, A and Futcher, L and Hagen, J","ICT SYSTEMS SECURITY AND PRIVACY PROTECTION, SEC 2021",IFIP Advances in Information and Communication Technology,"36th International Conference on Information Security and Privacy    Protection (SEC), Oslo, NORWAY, JUN 22-24, 2021",978-3-030-78122-4; 978-3-030-78120-0; 978-3-030-78119-4,,,,,,,,,,,,,,,,
